
2024/07/02 (13:58:19) | ===> btop++ v.1.3.2
2024/07/02 (13:58:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (15:56:12) | ===> btop++ v.1.3.2
2024/07/02 (15:56:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (23:21:00) | ===> btop++ v.1.3.2
2024/07/02 (23:21:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (03:42:20) | ===> btop++ v.1.3.2
2024/07/06 (03:42:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (03:49:28) | ===> btop++ v.1.3.2
2024/07/06 (03:49:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (03:51:27) | ===> btop++ v.1.3.2
2024/07/06 (03:51:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (03:51:45) | ===> btop++ v.1.3.2
2024/07/06 (03:51:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (17:02:08) | ===> btop++ v.1.3.2
2024/07/06 (17:02:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (17:42:26) | ===> btop++ v.1.3.2
2024/07/06 (17:42:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (23:42:24) | ===> btop++ v.1.3.2
2024/07/06 (23:42:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (11:55:45) | ===> btop++ v.1.3.2
2024/07/07 (11:55:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
